epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,325.964,1.65402,1.06971,1.25495,0.70828,0.65225,0.70637,0.40438,1.63417,1.09756,1.30878,0.004885,0.004885,0.004885
157,327.971,1.67153,1.08974,1.2776,0.67561,0.67976,0.70612,0.40195,1.61923,1.10334,1.30199,0.004852,0.004852,0.004852
158,330.023,1.67165,1.07951,1.26463,0.66128,0.65813,0.68448,0.37949,1.62502,1.10285,1.30084,0.004819,0.004819,0.004819
159,332.064,1.66888,1.08429,1.27067,0.68902,0.65553,0.69082,0.39033,1.62661,1.1049,1.30526,0.004786,0.004786,0.004786
160,334.148,1.65795,1.06444,1.2606,0.68327,0.64217,0.68539,0.38795,1.63183,1.13374,1.30343,0.004753,0.004753,0.004753
161,336.205,1.65361,1.0689,1.24842,0.62069,0.65885,0.66406,0.36874,1.65988,1.22516,1.32067,0.00472,0.00472,0.00472
162,338.214,1.66569,1.07894,1.2828,0.63168,0.64303,0.66264,0.37116,1.6198,1.15375,1.29328,0.004687,0.004687,0.004687
163,340.221,1.66634,1.09449,1.27919,0.6736,0.68333,0.70037,0.40191,1.59324,1.11521,1.27679,0.004654,0.004654,0.004654
164,342.232,1.65603,1.06156,1.26526,0.62823,0.69733,0.69466,0.39648,1.60102,1.12689,1.278,0.004621,0.004621,0.004621
165,344.288,1.65877,1.0497,1.24086,0.64433,0.68454,0.69585,0.39874,1.60313,1.13778,1.27918,0.004588,0.004588,0.004588
166,346.318,1.65268,1.06142,1.24524,0.65427,0.6401,0.6694,0.37921,1.61085,1.17208,1.29026,0.004555,0.004555,0.004555
167,348.42,1.64451,1.07021,1.25228,0.66726,0.6703,0.69184,0.39624,1.59371,1.09791,1.28371,0.004522,0.004522,0.004522
168,350.472,1.64397,1.06452,1.24823,0.67029,0.64797,0.6892,0.39797,1.6173,1.12766,1.28907,0.004489,0.004489,0.004489
169,352.507,1.6378,1.05163,1.25867,0.7233,0.63451,0.71139,0.40633,1.59132,1.09039,1.28009,0.004456,0.004456,0.004456
170,354.561,1.64402,1.04683,1.24912,0.6655,0.68253,0.71919,0.41654,1.61649,1.05954,1.29203,0.004423,0.004423,0.004423
171,356.576,1.64761,1.04777,1.24911,0.67307,0.69656,0.70363,0.40331,1.60359,1.07295,1.28095,0.00439,0.00439,0.00439
172,358.577,1.65116,1.05204,1.26835,0.66446,0.70062,0.71122,0.41716,1.58176,1.09667,1.26834,0.004357,0.004357,0.004357
173,360.615,1.64386,1.05245,1.26048,0.66976,0.66862,0.69824,0.40229,1.59167,1.11416,1.27671,0.004324,0.004324,0.004324
174,362.746,1.64788,1.04878,1.26234,0.67897,0.6447,0.6994,0.40525,1.58124,1.09198,1.27413,0.004291,0.004291,0.004291
175,364.791,1.64531,1.03504,1.25132,0.66502,0.6583,0.70513,0.40937,1.58392,1.09726,1.27025,0.004258,0.004258,0.004258
176,366.786,1.64914,1.0562,1.25232,0.61756,0.65082,0.66399,0.37174,1.63236,1.13378,1.29883,0.004225,0.004225,0.004225
177,368.859,1.64151,1.03685,1.24658,0.70005,0.63526,0.70113,0.40209,1.60682,1.15209,1.28347,0.004192,0.004192,0.004192
178,370.914,1.63101,1.04264,1.23565,0.66811,0.6516,0.69338,0.3985,1.61795,1.13363,1.29625,0.004159,0.004159,0.004159
179,372.906,1.64945,1.04822,1.27359,0.67849,0.66216,0.71294,0.41892,1.56554,1.04781,1.27186,0.004126,0.004126,0.004126
180,374.932,1.64245,1.04009,1.26641,0.66248,0.70809,0.72163,0.42043,1.57688,1.07678,1.27188,0.004093,0.004093,0.004093
181,377.02,1.63853,1.04108,1.25308,0.69094,0.66958,0.72728,0.42288,1.5843,1.0626,1.27721,0.00406,0.00406,0.00406
182,379.107,1.63492,1.05653,1.26561,0.68904,0.66891,0.71462,0.41429,1.60755,1.13922,1.28744,0.004027,0.004027,0.004027
183,381.163,1.63552,1.03573,1.2409,0.68285,0.69946,0.71242,0.41347,1.58219,1.08935,1.27616,0.003994,0.003994,0.003994
184,383.207,1.61327,1.03278,1.22175,0.70326,0.66413,0.72629,0.42102,1.58771,1.12181,1.28251,0.003961,0.003961,0.003961
185,385.238,1.63129,1.0414,1.24603,0.69678,0.67069,0.72489,0.43144,1.58345,1.06209,1.27554,0.003928,0.003928,0.003928
186,387.288,1.64341,1.03051,1.2505,0.7016,0.66558,0.70612,0.40017,1.59198,1.07396,1.27513,0.003895,0.003895,0.003895
187,389.292,1.63305,1.03986,1.25046,0.64324,0.69181,0.70554,0.41128,1.63309,1.14252,1.29785,0.003862,0.003862,0.003862
188,391.422,1.63037,1.02934,1.25166,0.68498,0.7179,0.74009,0.4374,1.58677,1.09137,1.27334,0.003829,0.003829,0.003829
